HVG,seq30K,seq50K,seq60K,seq75K,seq100K,seq250K,seq30K_gene.mean,seq30K_gene.dispersion,seq30K_gene.dispersion.scaled,seq50K_gene.mean,seq50K_gene.dispersion,seq50K_gene.dispersion.scaled,seq60K_gene.mean,seq60K_gene.dispersion,seq60K_gene.dispersion.scaled,seq75K_gene.mean,seq75K_gene.dispersion,seq75K_gene.dispersion.scaled,seq100K_gene.mean,seq100K_gene.dispersion,seq100K_gene.dispersion.scaled,seq250K_gene.mean,seq250K_gene.dispersion,seq250K_gene.dispersion.scaled
GIMAP7,1,1,1,1,1,1,0.563025448,1.018197638,0.784880851,0.548593042,0.877115478,1.183253964,0.546174842,0.832154043,1.146498,0.543533437,0.795083256,1.174876538,0.541889419,0.751178106,1.144747821,0.530085466,0.653370062,1.106575264
GIMAP4,1,1,1,1,1,1,0.384149958,1.380754074,2.989559146,0.375303556,1.289020181,3.148218393,0.371093521,1.270300719,3.19906497,0.3668237,1.234852229,3.210205765,0.365213462,1.206484184,3.222693843,0.361151846,1.099456221,3.163014944
SLC4A2,1,0,0,0,0,0,0.149165084,0.932495811,0.615575542,0.154119771,0.659243827,0.273521899,0.156949094,0.600685919,0.216880042,0.162560818,0.545862231,0.183058723,0.16480456,0.482922038,0.117558379,0.180041904,0.414389978,0.173697681
LINC01003,1,0,0,0,0,0,0.160835765,0.953461629,0.685265544,0.164244351,0.692486016,0.383605058,0.165263456,0.652788463,0.389454042,0.164007149,0.595845715,0.348613983,0.165110327,0.550787452,0.344069871,0.163348203,0.457618197,0.315767141
PAXIP1-AS1,1,1,1,1,1,1,0.217291623,0.998161598,0.833847439,0.21759084,0.775642793,0.658982856,0.21644799,0.719122955,0.609167083,0.216012565,0.702231943,0.700986372,0.218113207,0.643999753,0.65518058,0.221169399,0.637634441,0.907390186
INSIG1,1,1,1,1,1,1,0.691418997,1.177853117,1.45470912,0.711501332,1.05313376,1.496243398,0.718853009,1.025579366,1.522832884,0.719885337,0.972761203,1.491721748,0.7237429,0.929916221,1.493136278,0.73532208,0.823707424,1.279460509
AC009403.2,1,1,1,1,1,1,0.150020675,1.059443663,1.037547918,0.145549413,0.807924128,0.765884101,0.143482575,0.769183342,0.77497705,0.14387309,0.715567675,0.745156975,0.143585669,0.65874265,0.704387319,0.141972057,0.552253438,0.626785679
VIPR2,1,1,1,1,1,1,0.468681458,1.038116665,1.234127698,0.484505561,0.886425406,1.227666369,0.489984455,0.848498686,1.223067049,0.505010237,0.8419161,1.39162729,0.517763217,0.835371186,1.528991921,0.521543169,0.739126294,1.501908125
LINC00685,1,1,1,1,1,1,0.235403773,1.007057824,0.863418333,0.259552752,0.819926372,0.805630129,0.267176543,0.77602312,0.797631758,0.275705368,0.740642348,0.828209289,0.290495723,0.785495613,1.301367578,0.319549256,0.682294899,1.239917624
P2RY8,1,0,0,1,1,0,0.262597308,0.932125272,0.614343877,0.280104388,0.740717476,0.532576224,0.288362146,0.723449761,0.637255709,0.292580032,0.662200244,0.559870263,0.30135687,0.606760155,0.485646787,0.316999988,0.553373748,0.645596181
AKAP17A,1,1,1,0,1,1,0.440937777,1.054850169,1.319858321,0.432783363,0.821228173,0.916647233,0.432217099,0.762801124,0.821603354,0.436685657,0.71469845,0.802841321,0.434237618,0.649286037,0.679728288,0.434522384,0.50137916,0.405903171
ARSD,1,1,1,1,1,1,0.066090731,1.126602178,1.260781617,0.063404228,0.921603467,1.142338878,0.063697805,0.857690894,1.068131682,0.064584518,0.79011579,0.992075188,0.061009887,0.686316637,0.796419837,0.063661869,0.744708976,1.259290443
NLGN4X,1,1,1,1,1,1,0.23518913,0.959435641,0.705123053,0.249658612,0.841548145,0.877231702,0.252285108,0.789798563,0.843258768,0.262400393,0.752830891,0.868580171,0.272065051,0.760688942,1.044649098,0.287767987,0.682567049,1.241172225
VCX,1,1,1,0,1,0,0.066602258,0.98993309,0.806496024,0.070056336,0.773150393,0.65072915,0.06951752,0.733320718,0.656192901,0.07108526,0.671245991,0.598354723,0.07432169,0.633550878,0.620305817,0.090297055,0.503228397,0.465664978
WWC3,1,1,1,0,1,1,0.049709799,1.077099445,1.09623542,0.048464303,0.848202818,0.899268985,0.046637173,0.790936624,0.84702825,0.04898243,0.708034459,0.720205461,0.049577204,0.636384882,0.62976475,0.052043511,0.484928487,0.405522357
GPM6B,1,1,1,1,1,1,0.222573839,1.187547778,1.463363693,0.216379815,0.937425009,1.1947327,0.214506044,0.871743527,1.114676801,0.212057467,0.796705924,1.013903024,0.209801582,0.765171637,1.059610796,0.193939565,0.623425744,0.860693332
AP1S2,1,1,1,1,1,1,0.511934351,0.974525795,0.90833311,0.518442135,0.871300335,1.155513205,0.517454761,0.817209891,1.076489771,0.514672562,0.761914429,1.021365289,0.513659438,0.700783831,0.914756196,0.506969459,0.594900573,0.837033213
CXorf23,1,1,1,1,1,1,0.0778526,1.53208103,2.608586025,0.073716579,1.319710071,2.460688673,0.075663892,1.221799029,2.274130311,0.077825354,1.135969794,2.137612574,0.07803429,1.053675752,2.022538646,0.079274805,0.832132465,1.546607572
KLHL15,1,0,0,1,0,0,0.034550909,0.985144937,0.790580289,0.035942772,0.745074074,0.557753023,0.038040727,0.664590917,0.428546118,0.038927331,0.615201152,0.412723046,0.041035307,0.607081689,0.531960739,0.040780182,0.64482759,0.931030455
CXorf21,1,1,1,1,1,1,0.03990093,0.952522398,0.682143559,0.042035751,0.968933354,1.299074151,0.042829412,0.916348173,1.262416268,0.042337736,0.856353977,1.211469263,0.041098344,0.804555633,1.191061076,0.039411785,0.684021322,1.059840583
TSPAN7,1,1,1,1,1,1,0.41996024,1.256188042,2.351371008,0.424499164,1.154575731,2.50685994,0.424641482,1.124163881,2.514463985,0.421729188,1.098848173,2.580754743,0.424645951,1.071412629,2.606248304,0.416136059,0.98421154,2.631741489
BCOR,1,1,1,1,1,1,0.305176535,0.933667914,0.699006265,0.310522021,0.834419434,0.979575283,0.314125525,0.787442203,0.937038359,0.321045073,0.746143233,0.948373382,0.327214091,0.689157313,0.861694582,0.344500123,0.593017998,0.828354619
